layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27,0,32.0,32.0,160000,5.931591845920594,1.6311702254278422,0.025487034772310034,2.6115246063913236,0.04080507197486443,1.2874842977958132,0.02011694215305958,13.187059063605693,10,64,0.8966481494068124,44,4,5,9,16,0.0625,0.078125,0.140625,0.25,2500.0,64.0,10000.0,1.6591863778666185,1.3605055096322527,0.02125789858800395,1.659982147376068,0.025937221052751064,1.1791582101672542,0.018424347033863347,7.923477617933456,10.0,64.0,0.9505343241453277,44.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,0,11.23
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,3.748574185749842,3.0282484438006865,0.047316381934385726,7.115066740356744,0.11117291781807412,1.8040448555940405,0.028188200868656883,1.9911350635929532,10,64,0.979606849394207,64,12,21,44,61,0.1875,0.328125,0.6875,0.953125,2500.0,64.0,10000.0,0.9501421488121797,1.863725380663,0.029120709072859376,2.684480658188801,0.041945010284200016,1.4066952908870785,0.0219796139201106,3.8514886563347663,10.0,64.0,0.9769865937595013,64.0,3.0,4.0,7.0,16.0,0.046875,0.0625,0.109375,0.25,156.25,0,11.23
features.7,conv,2,128,1,False,128,0,16.0,16.0,160000,3.343537307649151,5.203089054799476,0.04064913324062091,14.124626147842765,0.1103486417800216,2.491337382626045,0.019463573301765978,1.5858847313056978,10,128,0.9867887577220082,128,26,48,97,124,0.203125,0.375,0.7578125,0.96875,1250.0,128.0,10000.0,0.7727942121766926,1.986231716452022,0.015517435284781422,2.9721491118963352,0.02321991493669012,1.4738500920993511,0.01151445384452618,3.5445988143897487,10.0,128.0,0.960468679582273,128.0,3.0,4.0,12.0,40.0,0.0234375,0.03125,0.09375,0.3125,78.125,0,11.23
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,3.0618680562223974,8.079670590763323,0.06312242649033846,20.889995325474725,0.1632030884802713,3.451856477165225,0.02696762872785332,1.3932607817960223,10,128,0.9919071775115197,128,38,64,108,126,0.296875,0.5,0.84375,0.984375,1250.0,128.0,10000.0,0.5875055742110221,2.2188798435291215,0.01733499877757126,3.2974959651288054,0.025761687227568792,1.6267685386210031,0.012709129207976587,2.944634616298963,10.0,128.0,0.9704299746945424,128.0,3.0,5.0,15.0,53.0,0.0234375,0.0390625,0.1171875,0.4140625,78.125,0,11.23
features.14,conv,4,256,1,False,256,0,8.0,8.0,160000,4.0463078040995955,7.564428986050638,0.029548550726760305,22.209394519473317,0.08675544734169265,3.267456332229036,0.012763501297769672,1.3695125396913974,10,256,0.9868280568058487,256,48,100,199,248,0.1875,0.390625,0.77734375,0.96875,625.0,256.0,10000.0,0.7164360110699987,1.890560119380487,0.007385000466330028,3.2155427447348592,0.012560713846620544,1.4161509616790602,0.005531839694058829,2.5900462440710017,10.0,256.0,0.9553430508728116,256.0,3.0,7.0,30.0,113.0,0.01171875,0.02734375,0.1171875,0.44140625,39.0625,0,11.23
features.17,conv,5,256,1,False,256,0,8.0,8.0,160000,4.278022603877148,8.154433270487845,0.03185325496284314,24.386410962606064,0.09525941782267994,3.6007323007847147,0.014065360549940292,1.2927221242020235,10,256,0.9928061735682578,256,57,113,209,250,0.22265625,0.44140625,0.81640625,0.9765625,625.0,256.0,10000.0,0.5934474669697105,1.875388848527301,0.007325737689559769,3.3126259961407998,0.012939945297424999,1.4050376919896326,0.005488428484334502,2.332444680697814,10.0,256.0,0.9671095559903902,256.0,3.0,7.0,39.0,136.0,0.01171875,0.02734375,0.15234375,0.53125,39.0625,0,11.23
features.20,conv,6,256,1,False,256,0,8.0,8.0,160000,3.624538899379526,8.22610338345963,0.03213321634163918,25.79074979265341,0.10074511637755239,3.615928636896175,0.014124721237875684,1.2363070406517223,10,256,0.9909206128613266,256,66,123,213,251,0.2578125,0.48046875,0.83203125,0.98046875,625.0,256.0,10000.0,0.42656650430365706,1.8012566636295861,0.007036158842303071,3.303972060376717,0.01290614086084655,1.36593970476337,0.005335701971731914,2.3242740073942123,10.0,256.0,0.9645994796558162,256.0,4.0,8.0,44.0,143.0,0.015625,0.03125,0.171875,0.55859375,39.0625,0,11.23
features.24,conv,7,512,1,False,512,0,4.0,4.0,160000,4.535118993025322,6.16888398906962,0.012048601541151602,16.236379239215083,0.03171167820159196,3.788312099949632,0.007399047070214125,1.187256217913959,10,512,0.9762469384431309,512,39,137,363,488,0.076171875,0.267578125,0.708984375,0.953125,312.5,512.0,10000.0,0.4616967099478912,1.9123476695459876,0.003735054042082007,4.473159351780172,0.008736639358945648,1.3998106040595344,0.002734005086053778,1.9219673561588102,10.0,512.0,0.9433175296816538,512.0,7.0,25.0,149.0,365.0,0.013671875,0.048828125,0.291015625,0.712890625,19.53125,0,11.23
features.27,conv,8,512,1,False,512,0,4.0,4.0,160000,3.7567943706397133,6.586550292463165,0.012864356039967119,16.75768430864977,0.032729852165331585,4.077256797395088,0.007963392182412281,1.1206726285142974,10,512,0.9839679703344426,512,36,136,373,492,0.0703125,0.265625,0.728515625,0.9609375,312.5,512.0,10000.0,0.29682024693402864,1.7639505242145892,0.0034452158676066195,4.219721843886709,0.008241644226341228,1.3364326384049263,0.0026102199968846217,1.7630034115165332,10.0,512.0,0.9557417964200637,512.0,8.0,30.0,170.0,396.0,0.015625,0.05859375,0.33203125,0.7734375,19.53125,0,11.23
features.30,conv,9,512,1,False,512,0,4.0,4.0,160000,3.1171542491914943,6.961241643092701,0.013596175084165432,17.14128755425701,0.03347907725440822,4.081109609306009,0.007970917205675799,1.1014990431967826,10,512,0.9791524594005845,512,31,131,372,492,0.060546875,0.255859375,0.7265625,0.9609375,312.5,512.0,10000.0,0.20155868090056153,1.672704375448327,0.003267000733297514,4.069518496505798,0.007948278313487886,1.298005390590449,0.0025351667784969706,1.754631213527603,10.0,512.0,0.9519585902730312,512.0,8.0,35.0,180.0,402.0,0.015625,0.068359375,0.3515625,0.78515625,19.53125,0,11.23
