layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,37,1,False,27,0,32.0,32.0,160000,6.385911623209153,1.6802526084873424,0.04541223266182006,2.6583826114008096,0.07184817868650836,1.309415617480822,0.03538961128326546,14.753734940082932,10,37,0.7499532564306953,33,4,5,9,15,0.10810810810810811,0.13513513513513514,0.24324324324324326,0.40540540540540543,4324.324324324324,37.0,10000.0,1.742080745658037,1.3209055829528544,0.03570015089061769,1.6006718803080016,0.04326140217048653,1.1596567531026174,0.03134207440817885,11.179087940649078,10.0,37.0,0.9779809555871845,29.0,2.0,2.0,3.0,4.0,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.10810810810810811,270.27027027027026,0,10.08
features.3,conv,1,37,1,False,37,0,32.0,32.0,160000,3.653651448703732,4.124087828894156,0.11146183321335558,8.160099868757037,0.22054323969613612,2.2470183003133846,0.06073022433279418,2.1714897199053578,10,37,0.9782294744608522,37,11,17,29,36,0.2972972972972973,0.4594594594594595,0.7837837837837838,0.972972972972973,4324.324324324324,37.0,10000.0,0.8073619569865009,2.2763933280097186,0.06152414400026267,3.1289960849159817,0.084567461754486,1.6363087939212102,0.044224561997870546,4.641061951207285,10.0,37.0,0.9821629435483621,37.0,3.0,4.0,7.0,14.0,0.08108108108108109,0.10810810810810811,0.1891891891891892,0.3783783783783784,270.27027027027026,0,10.08
features.7,conv,2,75,1,False,75,0,16.0,16.0,160000,4.9572816743400105,4.215726748257042,0.05620968997676056,10.227989594361928,0.13637319459149236,2.2443997478666695,0.029925329971555593,1.8065340359132194,10,75,0.97811037101524,75,17,30,57,72,0.22666666666666666,0.4,0.76,0.96,2133.3333333333335,75.0,10000.0,1.2356071654552423,2.0405666302365764,0.02720755506982102,2.798888215548078,0.03731850954064104,1.5367287968161765,0.020489717290882354,3.9606988705602246,10.0,75.0,0.9607380973524667,75.0,2.0,4.0,8.0,25.0,0.02666666666666667,0.05333333333333334,0.10666666666666667,0.3333333333333333,133.33333333333334,0,10.08
features.10,conv,3,75,1,False,75,0,16.0,16.0,160000,4.49540925999965,6.246530513121043,0.08328707350828057,14.539166483645232,0.19385555311526975,3.0650178671945842,0.04086690489592779,1.4875606290920074,10,75,0.9831206485891036,75,25,39,64,74,0.3333333333333333,0.52,0.8533333333333334,0.9866666666666667,2133.3333333333335,75.0,10000.0,0.9829557441216801,2.1834591337632427,0.02911278845017657,2.9586940081620767,0.03944925344216102,1.6539663245661878,0.02205288432754917,3.2300502094066315,10.0,75.0,0.9664381724073001,75.0,2.0,4.0,10.0,33.0,0.02666666666666667,0.05333333333333334,0.13333333333333333,0.44,133.33333333333334,0,10.08
features.14,conv,4,149,1,False,149,0,8.0,8.0,160000,6.1307086807376825,7.018795654585571,0.04710601110460115,17.25764471406863,0.11582311888636664,3.2440781615143996,0.02177233665445906,1.4563994857357492,10,149,0.9835874255880348,149,31,60,116,144,0.2080536912751678,0.40268456375838924,0.7785234899328859,0.9664429530201343,1073.8255033557048,149.0,10000.0,1.2223459916168,2.100151490886379,0.014094976448901873,3.1328965783136273,0.021026151532306223,1.5585069954952866,0.010459778493256957,2.8049859894683395,10.0,149.0,0.9662601144845184,149.0,3.0,4.0,18.0,65.0,0.020134228187919462,0.026845637583892617,0.12080536912751678,0.436241610738255,67.11409395973155,0,10.08
features.17,conv,5,149,1,False,149,0,8.0,8.0,160000,4.653995060824144,9.174285880490675,0.06157238845966896,23.264255435619347,0.1561359425209352,3.9556985433384524,0.02654831237139901,1.3488747850452656,10,149,0.9883862118334527,149,44,75,125,146,0.2953020134228188,0.5033557046979866,0.8389261744966443,0.9798657718120806,1073.8255033557048,149.0,10000.0,0.6959934209814249,2.4426066369705053,0.016393333134030238,3.7216470963436117,0.02497749729089672,1.8115930256569064,0.012158342454073197,2.525284344906294,10.0,149.0,0.9686678570493708,149.0,3.0,6.0,27.0,83.0,0.020134228187919462,0.040268456375838924,0.18120805369127516,0.5570469798657718,67.11409395973155,0,10.08
features.20,conv,6,149,1,False,149,0,8.0,8.0,160000,4.445599473209245,7.87309902483285,0.05283959077069027,21.497775480612695,0.14428037235310534,3.4924207677250143,0.02343906555520144,1.256751674072717,10,149,0.9883352036274402,149,47,79,127,147,0.31543624161073824,0.5302013422818792,0.8523489932885906,0.9865771812080537,1073.8255033557048,149.0,10000.0,0.5844947213805264,2.1852609930464326,0.014666181161385454,3.4896324431375025,0.023420351967365787,1.6013263749412492,0.01074715687880033,2.5011053420285316,10.0,149.0,0.967587596309185,149.0,3.0,7.0,29.0,86.0,0.020134228187919462,0.04697986577181208,0.19463087248322147,0.5771812080536913,67.11409395973155,0,10.08
features.24,conv,7,298,1,False,298,0,4.0,4.0,160000,6.440771295039662,5.985507711712684,0.02008559634802914,13.983696365285923,0.04692515558820779,3.7997954423118294,0.01275099141715379,1.270443315927425,10,298,0.9797274419624661,298,26,80,210,284,0.087248322147651,0.2684563758389262,0.7046979865771812,0.9530201342281879,536.9127516778524,298.0,10000.0,0.6620240432674442,2.084924381809291,0.0069963905429841974,4.285653997702791,0.014381389254036214,1.489899730082852,0.00499966352376796,2.020937448412553,10.0,298.0,0.9521141959341711,298.0,6.0,16.0,87.0,213.0,0.020134228187919462,0.053691275167785234,0.29194630872483224,0.714765100671141,33.557046979865774,0,10.08
features.27,conv,8,298,1,False,298,0,4.0,4.0,160000,5.5648753592126585,6.634805467199394,0.022264447876508033,15.42411561929671,0.05175877724596212,4.116436059419656,0.013813543823555893,1.2120959228489676,10,298,0.9866575626040551,298,27,84,219,287,0.09060402684563758,0.28187919463087246,0.7348993288590604,0.9630872483221476,536.9127516778524,298.0,10000.0,0.41237168679918923,2.072761511424771,0.006955575541693862,4.68645209091409,0.015726349298369427,1.4692127099813241,0.00493024399322592,1.8709348932151892,10.0,298.0,0.9623748389217347,298.0,7.0,22.0,105.0,235.0,0.02348993288590604,0.0738255033557047,0.3523489932885906,0.7885906040268457,33.557046979865774,0,10.08
features.30,conv,9,298,1,False,298,0,4.0,4.0,160000,4.97419511685157,6.429998436843528,0.021577175962562173,14.285790831206581,0.047938895406733496,4.090979274650997,0.01372811837131207,1.2069996062450152,10,298,0.9828618091063405,298,21,73,213,286,0.07046979865771812,0.24496644295302014,0.714765100671141,0.959731543624161,536.9127516778524,298.0,10000.0,0.30536335389271557,1.7317579349406786,0.005811268238055969,3.8653374213362084,0.012970930944081235,1.3248778046204877,0.004445898673223113,1.8583315035805454,10.0,298.0,0.9621919487456223,298.0,7.0,21.0,104.0,234.0,0.02348993288590604,0.07046979865771812,0.348993288590604,0.785234899328859,33.557046979865774,0,10.08
features.34,conv,10,298,1,False,298,0,2.0,2.0,40000,4.781485163897026,3.351317751828046,0.011246032724255188,5.613662084373004,0.018837792229439612,2.447946203015274,0.008214584573876757,1.0543305452511504,10,298,0.9843088343609733,298,4,17,163,276,0.013422818791946308,0.05704697986577181,0.5469798657718121,0.9261744966442953,134.2281879194631,298.0,10000.0,0.32411318678670703,2.0951060672558905,0.007030557272670774,6.802699751346769,0.022827851514586474,1.4556079198077336,0.0048845903349252805,1.3778744302396853,10.0,298.0,0.9447836682889732,298.0,31.0,81.0,198.0,279.0,0.1040268456375839,0.27181208053691275,0.6644295302013423,0.9362416107382551,33.557046979865774,0,10.08
features.37,conv,11,298,1,False,298,0,2.0,2.0,40000,2.253912920442965,3.481265827039614,0.01168210009073696,5.418503466886119,0.018182897539886306,2.6019508394290956,0.008731378655802334,1.13296820646365,10,298,0.972161264119753,298,3,13,147,270,0.010067114093959731,0.0436241610738255,0.49328859060402686,0.9060402684563759,134.2281879194631,298.0,10000.0,0.10763247084624324,2.548014364539539,0.008550383773622614,9.339488940365559,0.031340566913978386,1.611195281789223,0.005406695576473903,1.6339821966744807,10.0,298.0,0.913574564506768,298.0,42.0,87.0,187.0,271.0,0.14093959731543623,0.29194630872483224,0.62751677852349,0.9093959731543624,33.557046979865774,0,10.08
