layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
classifier,linear,13,50,1,False,50,0,,,5000,0.006239950250278947,1.4359069211305293,0.028718138422610586,2.780556063855683,0.055611121277113665,1.1994575966339454,0.023989151932678907,1.1204688854348337,10,50,0.97011947539541,50,6,18,40,49,0.12,0.36,0.8,0.98,100.0,,,,,,,,,,,,,,,,,,,,,,,,0,2.0
features.0,conv,0,64,1,False,27,0,32.0,32.0,80000,20.27763246046594,5.054350943635402,0.07897423349430316,6.792904618980701,0.10613913467157346,2.911373646053557,0.04549021321958683,13.550815919962673,10,64,0.9632243816733241,41,6,8,12,15,0.09375,0.125,0.1875,0.234375,1250.0,64.0,5000.0,5.4005747198349505,2.523358326341821,0.039427473849090955,2.74803049885703,0.04293797654464109,2.060405486242451,0.0321938357225383,8.886033406820099,10.0,64.0,0.9428206156683548,41.0,3.0,3.0,3.0,5.0,0.046875,0.046875,0.046875,0.078125,78.125,100,78.88
features.3,conv,1,64,1,False,64,0,32.0,32.0,80000,17.711632368145306,12.122661385810297,0.18941658415328588,16.925594889959292,0.26446242015561394,5.730161311010222,0.08953377048453472,4.358391709915364,10,64,0.9606754434153579,64,15,19,30,47,0.234375,0.296875,0.46875,0.734375,1250.0,64.0,5000.0,1.3372390628151138,3.7184974641155466,0.058101522876805416,4.46200979041518,0.06971890297523718,2.7563503679157875,0.04306797449868418,5.050075494678498,10.0,64.0,0.9820774735060336,64.0,4.0,4.0,9.0,18.0,0.0625,0.0625,0.140625,0.28125,78.125,100,78.88
features.7,conv,2,128,1,False,128,0,16.0,16.0,80000,26.709805447639976,16.64104556813335,0.1300081685010418,26.109491789284814,0.2039804046037876,6.647317302566407,0.05193216642630005,3.4380897636668446,10,128,0.9647098635758367,128,24,33,57,96,0.1875,0.2578125,0.4453125,0.75,625.0,128.0,5000.0,4.061928528562657,6.175013685420659,0.0482422944173489,8.071858692510748,0.06306139603524022,3.597966060251386,0.028109109845713954,4.677724130143185,10.0,128.0,0.9679286164151852,128.0,7.0,9.0,13.0,33.0,0.0546875,0.0703125,0.1015625,0.2578125,39.0625,100,78.88
features.10,conv,3,128,1,False,128,0,16.0,16.0,80000,17.5851056579645,22.74009146984727,0.17765696460818178,33.79583551400371,0.264029964953154,9.676477775340558,0.07559748261984811,2.777049914290376,10,128,0.9752162688743657,128,30,42,75,114,0.234375,0.328125,0.5859375,0.890625,625.0,128.0,5000.0,1.5705861334519344,6.1233103767137935,0.04783836231807651,9.451775937617763,0.07384199951263877,3.1443341457296277,0.024565110513512716,3.7315527107117266,10.0,128.0,0.9826440584367755,128.0,9.0,12.0,25.0,57.0,0.0703125,0.09375,0.1953125,0.4453125,39.0625,100,78.88
features.14,conv,4,256,1,False,256,0,8.0,8.0,80000,38.00169939428647,30.688867987380476,0.11987839057570499,53.65458988298593,0.2095882417304138,9.457323565088977,0.03694267017612882,2.5526945253261624,10,256,0.959199570266788,256,52,74,139,222,0.203125,0.2890625,0.54296875,0.8671875,312.5,256.0,5000.0,5.30455388452349,10.190520237501255,0.03980671967773928,16.13605431247082,0.06303146215808914,4.760122238374343,0.01859422749364978,3.497574236763737,10.0,256.0,0.9664286198043659,256.0,14.0,20.0,48.0,116.0,0.0546875,0.078125,0.1875,0.453125,19.53125,100,78.88
features.17,conv,5,256,1,False,256,0,8.0,8.0,80000,18.0259158417608,30.555580866483552,0.11935773775970138,57.08161454038572,0.22297505679838173,8.91652586231618,0.034830179149672576,2.221642705844636,10,256,0.9723356141709415,256,58,86,164,238,0.2265625,0.3359375,0.640625,0.9296875,312.5,256.0,5000.0,2.233051248987712,10.949198835479121,0.04277030795109032,19.585942183676465,0.07650758665498619,4.453847864096075,0.017397843219125294,2.935767265605886,10.0,256.0,0.9789699174206811,256.0,18.0,28.0,71.0,161.0,0.0703125,0.109375,0.27734375,0.62890625,19.53125,100,78.88
features.20,conv,6,256,1,False,256,0,8.0,8.0,80000,15.435364601731074,40.48864895522448,0.1581587849813456,68.76247226253683,0.2686034072755345,13.247751497298022,0.0517490292863204,2.0255495648250017,10,256,0.9766669419451764,256,68,102,186,245,0.265625,0.3984375,0.7265625,0.95703125,312.5,256.0,5000.0,1.6265529990079102,15.981518304814509,0.062427805878181676,26.885709245326105,0.1050223017395551,6.723650684576392,0.026264260486626532,2.8299243934924836,10.0,256.0,0.9765898923789028,256.0,26.0,40.0,91.0,183.0,0.1015625,0.15625,0.35546875,0.71484375,19.53125,100,78.88
features.24,conv,7,512,1,False,512,0,4.0,4.0,80000,23.900445024996145,56.54774107623215,0.11044480678951592,106.15517893646543,0.20733433386028405,13.188671905383252,0.025759124815201664,2.164729710053004,10,512,0.9601423808173541,512,104,156,310,466,0.203125,0.3046875,0.60546875,0.91015625,156.25,512.0,5000.0,5.761343481295547,21.432674280057885,0.041860691953238056,36.716321702256565,0.07171156582471985,9.24757800037602,0.018061675781984414,2.775655451677363,10.0,512.0,0.9680110863025307,512.0,34.0,54.0,146.0,322.0,0.06640625,0.10546875,0.28515625,0.62890625,9.765625,100,78.88
features.27,conv,8,512,1,False,512,0,4.0,4.0,80000,8.785554489285534,48.46281672085648,0.09465393890792281,97.11094749594766,0.18966981932802277,11.007876821852353,0.021499759417680377,2.038952122254509,10,512,0.9787534313554849,512,97,152,328,478,0.189453125,0.296875,0.640625,0.93359375,156.25,512.0,5000.0,2.5718617606951018,23.949121733032456,0.046775628384829016,39.139574790860685,0.07644448201339978,9.693020717081236,0.01893168108804929,2.582063972926805,10.0,512.0,0.9846941408790146,512.0,34.0,52.0,151.0,352.0,0.06640625,0.1015625,0.294921875,0.6875,9.765625,100,78.88
features.30,conv,9,512,1,False,512,0,4.0,4.0,80000,5.88089183671989,43.67290337435068,0.08529863940302868,101.34907767776556,0.19794741733938587,8.993385820160446,0.01756520668000087,1.9710937824596837,10,512,0.9757384341433344,512,107,169,345,483,0.208984375,0.330078125,0.673828125,0.943359375,156.25,512.0,5000.0,1.5635969219983261,23.977359543631845,0.04683078035865595,40.42942072511153,0.07896371235373345,8.720576810705927,0.017032376583410013,2.56308357270768,10.0,512.0,0.9848901563258564,512.0,35.0,55.0,158.0,360.0,0.068359375,0.107421875,0.30859375,0.703125,9.765625,100,78.88
features.34,conv,10,512,1,False,512,0,2.0,2.0,20000,5.62534029714693,45.986840921855006,0.08981804867549806,82.42635768285068,0.16098897984931773,10.96093155915143,0.021408069451467636,2.5682173687857373,10,512,0.9690856045080368,512,75,107,217,420,0.146484375,0.208984375,0.423828125,0.8203125,39.0625,512.0,5000.0,2.5571878118135727,16.323705575956158,0.03188223745303937,31.313542647570024,0.061159262983535204,5.26121384919524,0.010275808299209453,2.6764694931509228,10.0,512.0,0.9905783295567316,512.0,29.0,41.0,109.0,312.0,0.056640625,0.080078125,0.212890625,0.609375,9.765625,100,78.88
features.37,conv,11,512,1,False,512,0,2.0,2.0,20000,2.2409176384529403,10.230088832877351,0.019980642251713577,47.27861202527804,0.09234103911187118,3.3140588341209183,0.0064727711603924185,2.748418050603813,10,512,0.9481207620009778,512,75,103,187,379,0.146484375,0.201171875,0.365234375,0.740234375,39.0625,512.0,5000.0,1.3113017876678692,3.708100292276806,0.007242383383353136,12.009254081187711,0.023455574377319748,1.9557584422756717,0.0038198407075696714,2.9578644069061,10.0,512.0,0.9885669727730184,512.0,24.0,32.0,58.0,206.0,0.046875,0.0625,0.11328125,0.40234375,9.765625,100,78.88
features.40,conv,12,512,1,False,512,0,2.0,2.0,20000,0.7389281059801983,84.06121657537939,0.16418206362378787,121.6297497474657,0.23755810497551894,27.692007028498463,0.05408595122753606,2.9402266808378514,10,512,0.9062714089847768,512,107,135,206,377,0.208984375,0.263671875,0.40234375,0.736328125,39.0625,512.0,5000.0,0.2534229868420028,32.65232060026616,0.06377406367239484,40.50745585076139,0.07911612470851834,16.574013095028032,0.032371119326226626,3.1183404602651144,10.0,512.0,0.9836765848100409,512.0,32.0,38.0,64.0,218.0,0.0625,0.07421875,0.125,0.42578125,9.765625,100,78.88
classifier,linear,13,50,1,False,50,0,,,5000,274.75722175415694,18.97889483290522,0.3795778966581044,26.746279417010943,0.5349255883402189,7.7488717202112065,0.15497743440422412,3.5854343650433025,10,50,0.404657822700238,50,26,31,39,47,0.52,0.62,0.78,0.94,100.0,,,,,,,,,,,,,,,,,,,,,,,,100,78.88
