layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,19.612248746965143,1.6780965082538106,0.02622025794146579,2.709675926849947,0.04233868635703042,1.3072873981024355,0.020426365595350555,13.466356964849302,10,64,0.887810700522644,44,4,5,9,17,0.0625,0.078125,0.140625,0.265625,2500.0,64.0,10000.0,5.309105238619241,1.367574801797211,0.02136835627808142,1.6670654594529957,0.026047897803953057,1.1830576959920758,0.018485276499876184,7.824956577865074,10.0,64.0,0.9369829239218957,44.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,0,10.24
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,13.050474768041896,2.638776591731849,0.04123088424581014,5.151896051308871,0.0804983758017011,1.69163418955802,0.026431784211844063,4.348805976368084,10,64,0.8057234247974807,64,7,11,24,43,0.109375,0.171875,0.375,0.671875,2500.0,64.0,10000.0,3.3201106241749603,1.9217848044976542,0.030027887570275847,2.7498807388723123,0.04296688654487988,1.4335448209941803,0.022399137828034068,4.989229567510731,10.0,64.0,0.8505469999445676,64.0,3.0,4.0,6.0,14.0,0.046875,0.0625,0.09375,0.21875,156.25,0,10.24
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,7.022665216744613,6.117474955763946,0.09558554618381165,12.988612216760927,0.2029470658868895,2.9229144155273326,0.04567053774261457,1.799147417282067,10,64,0.9840854724218832,64,18,29,51,63,0.28125,0.453125,0.796875,0.984375,2500.0,64.0,10000.0,1.4535353870726686,2.773533361150219,0.04333645876797217,3.8360582331987705,0.05993840989373079,1.8994182779016484,0.029678410592213256,3.8324826720980667,10.0,64.0,0.9652822714238606,64.0,3.0,5.0,10.0,26.0,0.046875,0.078125,0.15625,0.40625,156.25,0,10.24
layer1.0.conv3,conv,3,256,1,False,64.0,0,32.0,32.0,160000,7.107536082887857,5.578078959490145,0.021789370935508378,11.848250793399682,0.04628222966171751,2.9784019731981046,0.011634382707805096,9.899384087947983,10,256,0.8151138881272935,151,17,28,48,61,0.06640625,0.109375,0.1875,0.23828125,625.0,256.0,10000.0,1.5784438101105676,2.660082634622531,0.010390947791494262,3.686169407801533,0.014399099249224738,1.9212236568247327,0.007504779909471612,8.5463926151136,10.0,256.0,0.869014246468628,158.0,3.0,5.0,11.0,32.0,0.01171875,0.01953125,0.04296875,0.125,39.0625,0,10.24
layer1.0.downsample.0,conv,4,256,1,False,64.0,0,32.0,32.0,160000,13.391704085190264,2.355266292878512,0.009200258956556687,4.848733306103204,0.018940364476965642,1.5700987697798074,0.006133198319452373,8.962346881775288,10,256,0.8515677333022229,153,7,12,29,54,0.02734375,0.046875,0.11328125,0.2109375,625.0,256.0,10000.0,3.5268752391613964,1.7038035279367467,0.006655482531002917,2.495499201217086,0.009748043754754241,1.3276354173749132,0.005186075849120755,7.492246975437509,10.0,256.0,0.9035723670268715,160.0,3.0,4.0,6.0,15.0,0.01171875,0.015625,0.0234375,0.05859375,39.0625,0,10.24
layer1.0,block,5,256,1,False,,0,32.0,32.0,160000,9.27248559682972,3.43324935899976,0.013411130308592813,8.84464358344949,0.03454938899784957,1.9947974361443137,0.007792177484938725,2.047538246022725,10,256,0.8413857021713738,256,16,36,119,215,0.0625,0.140625,0.46484375,0.83984375,625.0,256.0,10000.0,2.3380750020811103,2.047294194402827,0.007997242946886043,3.003963259885146,0.011734231483926352,1.5077471557158584,0.005889637327015072,2.7573267811206983,10.0,256.0,0.9053013744155245,256.0,3.0,4.0,10.0,44.0,0.01171875,0.015625,0.0390625,0.171875,39.0625,0,10.24
layer1.1.conv1,conv,6,64,1,False,64.0,0,32.0,32.0,160000,18.46916780261452,3.5637401988937825,0.05568344060771535,7.460470832726766,0.11656985676135571,2.120263783986449,0.03312912162478827,2.041741983130326,10,64,0.9688675176532189,64,11,21,43,60,0.171875,0.328125,0.671875,0.9375,2500.0,64.0,10000.0,4.565479472528188,2.2201654238061943,0.034690084746971786,3.0716401287500803,0.047994377011720005,1.636686572717457,0.025573227698710267,2.9570196582533645,10.0,64.0,0.9870842220104523,64.0,3.0,4.0,9.0,29.0,0.046875,0.0625,0.140625,0.453125,156.25,0,10.24
layer1.1.conv2,conv,7,64,1,False,64.0,0,32.0,32.0,160000,17.66140489076657,3.3559230631800494,0.05243629786218827,8.30731922006049,0.12980186281344516,1.911076024681113,0.02986056288564239,1.5785363637059693,10,64,0.9921387988785054,64,15,27,51,63,0.234375,0.421875,0.796875,0.984375,2500.0,64.0,10000.0,4.152276746877057,1.7121190469698662,0.02675186010890416,2.468112131386114,0.03856425205290803,1.3397734103299945,0.020933959536406165,4.049262948878329,10.0,64.0,0.956824473232206,64.0,3.0,3.0,9.0,24.0,0.046875,0.046875,0.140625,0.375,156.25,0,10.24
layer1.1.conv3,conv,8,256,1,False,64.0,0,32.0,32.0,160000,12.811123394637947,4.54821971807677,0.017766483273737383,10.02865372969374,0.03917442863161617,2.388898545851205,0.009331634944731269,9.620054328804164,10,256,0.8506916495723054,152,16,25,42,53,0.0625,0.09765625,0.1640625,0.20703125,625.0,256.0,10000.0,2.8651061908667383,2.145425343515786,0.008380567748108539,3.0459711410190407,0.011898324769605628,1.5681690138146482,0.00612566021021347,8.252231096237539,10.0,256.0,0.9037698408563162,158.0,3.0,4.0,10.0,28.0,0.01171875,0.015625,0.0390625,0.109375,39.0625,0,10.24
layer1.1,block,9,256,1,False,,0,32.0,32.0,160000,15.002492314324519,3.8680809356125425,0.015109691154736494,10.665280503456003,0.04166125196662501,2.1337748855115155,0.008335058146529357,2.0258573069746357,10,256,0.8744192853697852,256,22,45,130,220,0.0859375,0.17578125,0.5078125,0.859375,625.0,256.0,10000.0,3.6496539981594784,1.9973884213607866,0.007802298520940573,2.92786199639208,0.011436960923406563,1.486371461196068,0.00580613852029714,2.7267878606458242,10.0,256.0,0.9412918649110277,256.0,3.0,4.0,11.0,49.0,0.01171875,0.015625,0.04296875,0.19140625,39.0625,0,10.24
